Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.6
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.65
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.6
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.51
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.49
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Cavan,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2007,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2008,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2009,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2010,No. per 1000 Pop.,1.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2011,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2012,No. per 1000 Pop.,1.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2013,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2014,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2015,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2016,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.99
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2008,No. per 1000 Pop.,1.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.65
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Donegal,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2007,No. per 1000 Pop.,1.6
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2008,No. per 1000 Pop.,1.7
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2009,No. per 1000 Pop.,1.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2010,No. per 1000 Pop.,1.7
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2011,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2012,No. per 1000 Pop.,1.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2013,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2014,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2015,No. per 1000 Pop.,1.55
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2016,No. per 1000 Pop.,1.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.55
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.59
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.43
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Monaghan,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2007,No. per 1000 Pop.,1.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2008,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2009,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2010,No. per 1000 Pop.,1.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2011,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2012,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2013,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2014,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2015,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2016,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.49
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2016,No. per 1000 Pop.,2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.45
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Border,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2007,No. per 1000 Pop.,1.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2008,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2009,No. per 1000 Pop.,1.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2010,No. per 1000 Pop.,1.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2011,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2012,No. per 1000 Pop.,1.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2013,No. per 1000 Pop.,1.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2014,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2015,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2016,No. per 1000 Pop.,1.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.22
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.22
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.34
